Id,Label,Type
0,Agent_0,0
1,Agent_1,0
2,Agent_2,0
3,Agent_3,0
4,Agent_4,0
5,Agent_5,0
6,Agent_6,0
7,Agent_7,0
8,Agent_8,0
9,Agent_9,0
10,Agent_10,0
11,Agent_11,0
12,Agent_12,0
13,Agent_13,0
14,Agent_14,0
15,Agent_15,0
16,Agent_16,0
17,Agent_17,0
18,Agent_18,0
19,Agent_19,0
20,Agent_20,0
21,Agent_21,0
22,Agent_22,0
23,Agent_23,0
24,Agent_24,0
25,Agent_25,0
26,Agent_26,0
27,Agent_27,0
28,Agent_28,0
29,Agent_29,0
30,Agent_30,0
31,Agent_31,0
32,Agent_32,0
33,Agent_33,1
34,Agent_34,1
35,Agent_35,1
36,Agent_36,1
37,Agent_37,1
38,Agent_38,1
39,Agent_39,1
40,Agent_40,1
41,Agent_41,1
42,Agent_42,1
43,Agent_43,1
44,Agent_44,1
45,Agent_45,1
46,Agent_46,1
47,Agent_47,1
48,Agent_48,1
49,Agent_49,1
50,Agent_50,1
51,Agent_51,1
52,Agent_52,1
53,Agent_53,1
54,Agent_54,1
55,Agent_55,1
56,Agent_56,1
57,Agent_57,1
58,Agent_58,1
59,Agent_59,1
60,Agent_60,1
61,Agent_61,1
62,Agent_62,1
63,Agent_63,1
64,Agent_64,1
65,Agent_65,1
66,Agent_66,2
67,Agent_67,2
68,Agent_68,2
69,Agent_69,2
70,Agent_70,2
71,Agent_71,2
72,Agent_72,2
73,Agent_73,2
74,Agent_74,2
75,Agent_75,2
76,Agent_76,2
77,Agent_77,2
78,Agent_78,2
79,Agent_79,2
80,Agent_80,2
81,Agent_81,2
82,Agent_82,2
83,Agent_83,2
84,Agent_84,2
85,Agent_85,2
86,Agent_86,2
87,Agent_87,2
88,Agent_88,2
89,Agent_89,2
90,Agent_90,2
91,Agent_91,2
92,Agent_92,2
93,Agent_93,2
94,Agent_94,2
95,Agent_95,2
96,Agent_96,2
97,Agent_97,2
98,Agent_98,2
99,Agent_99,2
